File,Task Condition,Fit type,R,Rmin,Rmax,dprime,dmin,dmax,AUROC,
../data/Hf6UMFxJGslMe6bsjoTw_responses.xlsx,NA,NA,0.07,0.00,0.23,0.57,0.19,0.88,0.68,
../data/HkNSMmUGVIv5Qcb1Gqdh_responses.xlsx,NA,NA,0.05,0.00,0.16,0.00,0.00,0.24,0.52,
../data/HnBEWYoFfT65KVT6eDLJ_responses.xlsx,NA,NA,0.27,0.00,0.79,1.01,0.00,1.46,0.83,
../data/HVwPP1S1hKGJdqPluo0O_responses.xlsx,NA,NA,0.53,0.15,0.66,0.79,0.02,1.57,0.86,
../data/hVySt3NLTToapmeTMJ2p_responses.xlsx,NA,NA,0.27,0.18,0.38,0.25,0.00,0.55,0.69,
../data/I7gecEebgxjdrDaut4rP_responses.xlsx,NA,NA,0.00,0.00,0.31,0.81,0.38,1.05,0.72,
../data/i8xMsFSpby0LMGrbDVDv_responses.xlsx,NA,NA,0.25,0.00,0.43,0.20,0.00,0.72,0.67,
../data/idqM1Q6aXIRxAV7HNbHu_responses.xlsx,NA,NA,0.00,0.00,0.23,0.17,0.00,0.39,0.55,
../data/IIQVnTuxcpwDGQRnOwYu_responses.xlsx,NA,NA,0.00,0.00,0.11,0.08,0.00,0.29,0.52,
../data/IpiW8E0lAQjdUEsYIBet_responses.xlsx,NA,NA,0.14,0.00,0.36,0.69,0.22,1.07,0.73,
../data/ISy44fPvT2NCYbwC0kpd_responses.xlsx,NA,NA,0.12,0.00,0.36,0.22,0.00,0.55,0.62,
../data/iTL1V7fP1YGqcPCy2Cjj_responses.xlsx,NA,NA,0.27,0.00,0.49,0.39,0.00,0.93,0.71,
../data/J15rciYeG5vTkfRd8hEg_responses.xlsx,NA,NA,0.26,0.00,0.38,1.73,1.36,2.23,0.92,
../data/J6W3sdGwDw0cCjCus81Q_responses.xlsx,NA,NA,0.16,0.00,0.29,0.32,0.00,0.88,0.66,
../data/J7tB6OM47t3uPHFHCmL8_responses.xlsx,NA,NA,0.19,0.00,0.40,0.37,0.00,0.79,0.68,
../data/jC2lAXdlwhC53JyjuUgb_responses.xlsx,NA,NA,0.00,0.00,0.41,0.45,0.00,0.65,0.63,
../data/jdvoNWV5vugxHRn058yL_responses.xlsx,NA,NA,0.00,0.00,0.19,0.83,0.40,1.22,0.72,
../data/JGeR1PaQq7n97hdGCmcw_responses.xlsx,NA,NA,0.77,0.70,0.81,0.00,0.00,0.85,0.88,
../data/JHR9mUFs9W1AFVWYIv9I_responses.xlsx,NA,NA,0.44,0.00,0.54,0.00,0.00,0.74,0.72,
../data/ji68n8xaRYeYS8N5639V_responses.xlsx,NA,NA,0.37,0.06,0.50,2.54,2.10,3.02,0.97,
../data/JiPQnvvWW2O2wYJJaKRQ_responses.xlsx,NA,NA,0.26,0.00,0.36,1.18,0.85,1.66,0.85,
../data/jpM9AjnXgLDiX6b60T2w_responses.xlsx,NA,NA,0.00,0.00,0.06,0.00,0.00,0.16,0.50,
../data/jqgLnSiFfSU1Md6QiKPJ_responses.xlsx,NA,NA,0.26,0.00,0.51,0.43,0.00,0.93,0.72,
../data/JQkSpcsKC7CeH18kYyay_responses.xlsx,NA,NA,0.00,0.00,0.15,0.00,0.00,0.13,0.50,
../data/JsyeiwqKnYvPM0erhPNF_responses.xlsx,NA,NA,0.12,0.00,0.24,0.43,0.10,0.78,0.66,
../data/jVpT9eD1iMvIYte41wko_responses.xlsx,NA,NA,0.24,0.06,0.35,1.25,0.86,1.63,0.86,
../data/kAgW6YobUNksacMYsdj3_responses.xlsx,NA,NA,0.00,0.00,0.03,0.00,0.00,0.23,0.50,
../data/KIxlkCmxckPiXHDa3pIO_responses.xlsx,NA,NA,0.15,0.00,0.54,1.01,0.04,1.37,0.80,
../data/KkuDuCGVPLaXx9ep2SBb_responses.xlsx,NA,NA,0.09,0.00,0.33,1.02,0.48,1.37,0.79,
../data/knCBd3H4TSeifkFaWrTY_responses.xlsx,NA,NA,0.00,0.00,0.26,0.53,0.06,0.85,0.64,
../data/KOVJkLP3kOf5IoQXDEvS_responses.xlsx,NA,NA,0.24,0.00,0.35,0.00,0.00,0.50,0.62,
../data/ksBIYPmUgTx7IHw2L42b_responses.xlsx,NA,NA,0.03,0.00,0.23,0.41,0.00,0.65,0.62,
../data/Kw0SUVJir3TAHFcAT2Hj_responses.xlsx,NA,NA,0.03,0.00,0.11,0.00,0.00,0.22,0.51,
../data/kwVFXc1lansrVDxnLrpM_responses.xlsx,NA,NA,0.20,0.04,0.32,0.35,0.00,0.70,0.68,
../data/kXNQROJhC1R7gboXrYqX_responses.xlsx,NA,NA,0.04,0.00,0.15,0.00,0.00,0.34,0.52,
../data/L0jF2eOhrbfrWTMaXV42_responses.xlsx,NA,NA,0.15,0.08,0.24,0.09,0.00,0.38,0.60,
../data/l1sAFjTFsXxreN8fuWmC_responses.xlsx,NA,NA,0.34,0.00,0.47,0.67,0.13,1.28,0.79,
../data/L3m2QDgEviIOiyDlMBlw_responses.xlsx,NA,NA,0.00,0.00,0.06,0.00,0.00,0.08,0.50,
../data/laipF08K1smwwNWX7HAR_responses.xlsx,NA,NA,0.06,0.00,0.14,0.00,0.00,0.17,0.53,
../data/lAWHxHdOh5t5EReWhhIK_responses.xlsx,NA,NA,0.70,0.00,0.78,0.00,0.00,1.14,0.85,
../data/LC0dpdwnoYC6qYtYHxRf_responses.xlsx,NA,NA,0.01,0.00,0.38,0.97,0.47,1.24,0.76,
../data/ldmenIg6FI6nHtIABVX2_responses.xlsx,NA,NA,0.59,0.44,0.66,0.00,0.00,0.50,0.80,
../data/LdMglVQUlKnD7IQ2WVWN_responses.xlsx,NA,NA,0.88,0.00,0.91,0.06,0.00,2.33,0.94,
../data/lEuMxRSPGNaGP8nJQSUb_responses.xlsx,NA,NA,0.19,0.00,0.29,0.62,0.01,1.24,0.73,
../data/Lfv781sNINjgb0uteeJ7_responses.xlsx,NA,NA,0.24,0.00,0.58,0.25,0.00,0.80,0.67,
../data/LHFRv8DYg6uae28Y35IV_responses.xlsx,NA,NA,0.00,0.00,0.06,0.00,0.00,0.18,0.50,
../data/LpRUIM5W47XGwsYIpo2D_responses.xlsx,NA,NA,0.15,0.00,0.31,0.12,0.00,0.50,0.61,
../data/lPSoUXYbB2b4vvTq4Kl2_responses.xlsx,NA,NA,0.07,0.00,0.44,0.71,0.19,1.02,0.71,
../data/lrPKptTVamKcCH2mt4sy_responses.xlsx,NA,NA,0.22,0.00,0.47,0.34,0.00,0.77,0.68,
../data/lUiecQkBGlMyLCPQbM08_responses.xlsx,NA,NA,0.00,0.00,0.37,1.09,0.55,1.30,0.78,
../data/LuPPIbWPrkjYRwjYtL79_responses.xlsx,NA,NA,0.36,0.00,0.61,0.78,0.00,1.44,0.81,
../data/lVRFOBOKmNW4aTgx2BNV_responses.xlsx,NA,NA,0.92,0.89,0.95,0.00,0.00,0.70,0.96,
../data/m7YvwM8CxDuIMiIhSOpk_responses.xlsx,NA,NA,0.33,0.00,0.50,1.00,0.54,1.55,0.84,
../data/maXKXLHAqxIu87hL4fYg_responses.xlsx,NA,NA,0.08,0.00,0.22,0.00,0.00,0.28,0.54,
../data/mBpBmK7YXDj64rA2rgcX_responses.xlsx,NA,NA,0.00,0.00,0.11,3.01,2.64,3.41,0.98,
../data/mhhYow4EvKjDM4uCyJNh_responses.xlsx,NA,NA,0.07,0.00,0.27,0.61,0.18,0.91,0.69,
../data/MpcHswNRe4jGp7tg30Oh_responses.xlsx,NA,NA,0.05,0.00,0.44,0.99,0.41,1.27,0.77,
../data/MQHuFL3RIHuYShLfw6Tq_responses.xlsx,NA,NA,0.21,0.00,0.39,0.84,0.42,1.29,0.78,
../data/N06fnsCJU5tILhxvKGnB_responses.xlsx,NA,NA,0.11,0.00,0.19,0.00,0.00,0.35,0.55,
../data/n1VrivqSpDx8uSkXsFhB_responses.xlsx,NA,NA,0.00,0.00,0.09,0.01,0.00,0.24,0.50,
../data/N4QNxBuOE1UQSrldTWO6_responses.xlsx,NA,NA,0.00,0.00,0.02,0.00,0.00,0.06,0.50,
../data/Nb0lkuUSIll2q8a8N860_responses.xlsx,NA,NA,0.08,0.00,0.23,0.84,0.42,1.19,0.74,
../data/ndr0HQCuhou3eUsP26Nl_responses.xlsx,NA,NA,0.00,0.00,0.31,0.21,0.00,0.41,0.56,
../data/nFxE0RRpNflColeXjnka_responses.xlsx,NA,NA,0.26,0.00,0.57,0.81,0.09,1.28,0.79,
../data/NgbvXVAp9PLAcra4xUDR_responses.xlsx,NA,NA,0.08,0.00,0.25,0.00,0.00,0.27,0.54,
../data/Ngs2Jw9TrpxIqspW3EKg_responses.xlsx,NA,NA,0.49,0.00,0.55,0.00,0.00,1.94,0.75,
../data/nhuEHcJYNRACSLLqGY8v_responses.xlsx,NA,NA,0.08,0.00,0.14,0.33,0.00,0.76,0.63,
../data/nkDhsoFTuRHSc7bd9MhC_responses.xlsx,NA,NA,0.21,0.00,0.43,0.30,0.00,0.76,0.67,
../data/nKlCkq5OWso2pujfxJLD_responses.xlsx,NA,NA,0.00,0.00,0.19,0.34,0.00,0.64,0.59,
../data/npSxykaJcxUwWf147xfI_responses.xlsx,NA,NA,0.21,0.00,0.54,0.64,0.07,1.03,0.74,
../data/nt0l5qvfaeXG8gGXjhkj_responses.xlsx,NA,NA,0.56,0.43,0.66,0.76,0.13,1.28,0.87,
../data/NUQAq7JV6tCChSvLs3vh_responses.xlsx,NA,NA,0.00,0.00,0.08,0.00,0.00,0.22,0.50,
../data/nv7mSUnQr47tb5FtkRLR_responses.xlsx,NA,NA,0.34,0.00,0.48,0.00,0.00,0.49,0.67,
../data/O0QtWgLHrU0jhptwjkMO_responses.xlsx,NA,NA,0.08,0.00,0.16,0.98,0.66,1.32,0.78,
../data/O28BQaByq9cNLs4tBMwN_responses.xlsx,NA,NA,0.27,0.00,0.47,0.18,0.00,0.67,0.67,
../data/oBDPpgpdJJQpvDmrTG7k_responses.xlsx,NA,NA,0.12,0.00,0.33,0.23,0.00,0.58,0.62,
../data/okP22ElrHo3EiH48Vw4B_responses.xlsx,NA,NA,0.06,0.00,0.17,0.00,0.00,0.11,0.53,
../data/olxyimXOf6bgbhPHjefq_responses.xlsx,NA,NA,0.36,0.08,0.49,0.55,0.08,1.08,0.78,
../data/Or7cOaMVjEqeb69WHTfB_responses.xlsx,NA,NA,0.09,0.00,0.26,0.07,0.00,0.39,0.56,
../data/oXNCXYu9aEBTI5JwWCD7_responses.xlsx,NA,NA,0.12,0.00,0.29,0.44,0.08,0.79,0.67,
../data/OYqyDxALJwtWFO19KuiR_responses.xlsx,NA,NA,0.12,0.00,0.24,0.17,0.00,0.57,0.60,
../data/p95f2GAcydLRO3IgtXV6_responses.xlsx,NA,NA,0.00,0.00,0.10,0.05,0.00,0.30,0.51,
../data/Ph4ikT1rwiAGQLwmW5kC_responses.xlsx,NA,NA,0.08,0.00,0.15,0.31,0.00,0.62,0.62,
../data/pkYmrOvDnA80ltrPd8th_responses.xlsx,NA,NA,0.00,0.00,0.88,0.71,0.00,1.04,0.69,
../data/pN7ly3qFENDySgHJ5Kgf_responses.xlsx,NA,NA,0.00,0.00,0.80,2.11,0.00,2.35,0.93,
../data/pPDl4XuoVjfHh7fcQDQq_responses.xlsx,NA,NA,0.78,0.55,0.84,0.31,0.00,1.56,0.91,
../data/PsktWkVq7u5Vi9D8k2xa_responses.xlsx,NA,NA,0.29,0.00,0.45,0.39,0.00,1.10,0.72,
../data/pWeHCpM6oniLeQ3IWLl3_responses.xlsx,NA,NA,0.00,0.00,0.29,0.21,0.00,0.59,0.56,
../data/q076O9kSa6IuhQgK2T8k_responses.xlsx,NA,NA,0.37,0.00,0.51,1.01,0.41,1.70,0.85,
../data/Q26IBqm0m98iXbpnNWpW_responses.xlsx,NA,NA,0.63,0.00,0.73,2.02,1.40,3.15,0.97,
../data/q298DODQ9x3QbaBf6lNG_responses.xlsx,NA,NA,0.32,0.22,0.39,0.00,0.00,0.39,0.66,
../data/Q7RXhS0ywM6u3EyxxhyQ_responses.xlsx,NA,NA,0.20,0.02,0.30,0.75,0.46,1.07,0.76,
../data/q94vWbqCi8agrdyg23JA_responses.xlsx,NA,NA,0.42,0.00,0.64,0.54,0.00,1.32,0.80,
../data/qANLXidtveGqteAiHKqj_responses.xlsx,NA,NA,0.46,0.00,0.64,1.05,0.53,1.68,0.88,
