"File","WordFreq","AUROCnofit","R","Rmin","Rmax","dprime","dmin","dmax","AUROC","logL"
"../data/NUQAq7JV6tCChSvLs3vh_responses.xlsx","AllFreq",0.494442034679651,0,6.60408543905442e-05,0.0768718414017737,0,3.13384721580352e-05,0.21725752253254,0.499968328757859,-313.678166809878
"../data/NUQAq7JV6tCChSvLs3vh_responses.xlsx","LoFreq",0.499968328757859,0,6.60408543905442e-05,0.110911059835948,0.0113875033650721,3.13384721580352e-05,0.288392021846268,0.50317987852759,-236.044573250653
"../data/NUQAq7JV6tCChSvLs3vh_responses.xlsx","HiFreq",0.489054248918819,0,6.60408543905442e-05,0.103139336152921,0,3.13384721580352e-05,0.246102092147106,0.499968328757859,-237.306921553829
"../data/nv7mSUnQr47tb5FtkRLR_responses.xlsx","AllFreq",0.532552960992689,0.343692740341562,4.07357221492579e-05,0.48384202189898,0,3.13384721580352e-05,0.487036605004828,0.671803813753286,-289.282819408612
"../data/nv7mSUnQr47tb5FtkRLR_responses.xlsx","LoFreq",0.472772202759188,0.0458415252837554,4.4575728044695e-05,0.250366153649484,0,3.13384721580352e-05,0.238792013390018,0.522887639542205,-233.89108163308
"../data/nv7mSUnQr47tb5FtkRLR_responses.xlsx","HiFreq",0.636399847418943,0.203882795363946,4.0697436917172e-05,0.76870397279533,0.865422950093,8.13941507175772e-05,1.38197491692903,0.784638884429569,-189.817099363239
"../data/O0QtWgLHrU0jhptwjkMO_responses.xlsx","AllFreq",0.618889563700577,0.0771819168165905,4.06904875009448e-05,0.155046033567501,0.982805989367929,0.663501096159754,1.32471702925056,0.775027946645423,-238.883036617248
"../data/O0QtWgLHrU0jhptwjkMO_responses.xlsx","LoFreq",0.642717766700116,0.133626961623672,4.06936815617683e-05,0.26953519536953,1.04938607601206,0.580318969560268,1.48926888694256,0.801314544003162,-175.007595275152
"../data/O0QtWgLHrU0jhptwjkMO_responses.xlsx","HiFreq",0.596771638047812,0.0301927154066874,4.06941639360408e-05,0.11717489194819,0.926503868190474,0.542718679164059,1.32304815484246,0.751342665724678,-159.687932771351
"../data/O28BQaByq9cNLs4tBMwN_responses.xlsx","AllFreq",0.574552924485488,0.265015874488032,4.07078805363626e-05,0.469662814237839,0.175302558769536,8.14105322165537e-05,0.667957598341589,0.668709983816825,-340.478254005409
"../data/O28BQaByq9cNLs4tBMwN_responses.xlsx","LoFreq",0.554818722933305,0.384005594499441,4.06921782837034e-05,0.53815271886013,0,3.13384721580352e-05,0.668648874246679,0.69195896407382,-260.747890062114
"../data/O28BQaByq9cNLs4tBMwN_responses.xlsx","HiFreq",0.596690017383025,0,4.06943290870901e-05,0.438183989928231,0.478364216880621,8.15065992759935e-05,0.75378181545465,0.632329640247463,-256.843614226681
"../data/oBDPpgpdJJQpvDmrTG7k_responses.xlsx","AllFreq",0.537043558495498,0.122565226626711,4.07175250610401e-05,0.333060461919379,0.227926217567399,3.13384721580352e-05,0.579075553574684,0.617402238686282,-404.52631172751
"../data/oBDPpgpdJJQpvDmrTG7k_responses.xlsx","LoFreq",0.563183213454522,0.287193288889656,4.06994327977588e-05,0.480420718232677,0.144349151644219,8.1488275356343e-05,0.741007800762476,0.672522366758585,-304.461497955116
"../data/oBDPpgpdJJQpvDmrTG7k_responses.xlsx","HiFreq",0.513317740402726,0,4.0712966483748e-05,0.253913202663391,0.237020651825999,3.13384721580352e-05,0.485826711923681,0.566498672867965,-301.103126320347
"../data/okP22ElrHo3EiH48Vw4B_responses.xlsx","AllFreq",0.424155564141074,0.0591999432445503,4.06945809625231e-05,0.165289265571659,0,3.13384721580352e-05,0.105430119134633,0.529566425444955,-189.523343142969
"../data/okP22ElrHo3EiH48Vw4B_responses.xlsx","LoFreq",0.378141833441532,0,6.60408543905442e-05,0.0931510714802816,0,3.13384721580352e-05,0.0817782037091769,0.499968328757859,-143.843633842574
"../data/okP22ElrHo3EiH48Vw4B_responses.xlsx","HiFreq",0.499968328757859,0.163524494720769,4.06950264762407e-05,0.328664715169167,0,3.13384721580352e-05,0.469605844291031,0.581725397094942,-105.893294290954
"../data/olxyimXOf6bgbhPHjefq_responses.xlsx","AllFreq",0.611287196116791,0.359151546090963,0.07676113154906,0.490649389050085,0.549712581501738,0.0778690106937412,1.08059922664315,0.776404977058064,-334.927935840913
"../data/olxyimXOf6bgbhPHjefq_responses.xlsx","LoFreq",0.656258501271168,0.527635309750499,0.206442478967126,0.689967192901855,0.573245883325636,8.14258247223901e-05,1.28890228390942,0.838055341427207,-234.033137393865
"../data/olxyimXOf6bgbhPHjefq_responses.xlsx","HiFreq",0.573148451715497,0.198272444891353,4.06913427964802e-05,0.36803369917994,0.510818927046818,8.14016056330497e-05,1.03078022272266,0.712108512463146,-242.528713195168
"../data/Or7cOaMVjEqeb69WHTfB_responses.xlsx","AllFreq",0.526943905064854,0.0935559541042149,4.17431013937488e-05,0.26036466370045,0.0697907472399859,3.13384721580352e-05,0.385346025072657,0.564577211555843,-373.616237993571
"../data/Or7cOaMVjEqeb69WHTfB_responses.xlsx","LoFreq",0.70190272778882,0,4.06978242375449e-05,0.484331621462596,1.15074771085599,0.573759321112874,1.4798815261639,0.791784179966726,-235.563616726493
"../data/Or7cOaMVjEqeb69WHTfB_responses.xlsx","HiFreq",0.436968337007784,0,6.60408543905442e-05,0.036927133720296,0,3.13384721580352e-05,0.0591216500708642,0.499968328757859,-284.048243099565
"../data/oXNCXYu9aEBTI5JwWCD7_responses.xlsx","AllFreq",0.585434392989555,0.123246357605607,4.06920603062632e-05,0.289505145418004,0.443158159906484,0.0816492006289445,0.792509355579903,0.669380366605765,-354.931834786002
"../data/oXNCXYu9aEBTI5JwWCD7_responses.xlsx","LoFreq",0.539488143277595,0.139824356304619,4.07125334259398e-05,0.285399891088649,0.0768216288219095,3.13384721580352e-05,0.515209997003451,0.588502875486483,-270.415847789368
"../data/oXNCXYu9aEBTI5JwWCD7_responses.xlsx","HiFreq",0.643563403026292,0.0291408732849125,4.07184183145061e-05,0.341667517832502,0.920324089520903,0.412683657726866,1.23504340406883,0.74970800121946,-252.004794051778
"../data/OYqyDxALJwtWFO19KuiR_responses.xlsx","AllFreq",0.538739554021959,0.121004562697409,4.06979361455348e-05,0.241058168854543,0.170720668018867,8.25642651953801e-05,0.571076678333698,0.602683658431943,-379.581340252162
"../data/OYqyDxALJwtWFO19KuiR_responses.xlsx","LoFreq",0.59523644391038,0.247255503441209,4.07078797159314e-05,0.454406143371319,0.383805292574274,8.14210840696414e-05,0.961331286849783,0.704064067585932,-281.526348948742
"../data/OYqyDxALJwtWFO19KuiR_responses.xlsx","HiFreq",0.488824322375876,0.000832178786691656,6.60408543905442e-05,0.0868453025113226,0,3.13384721580352e-05,0.248645264106126,0.500384391795251,-254.379398140847
"../data/p95f2GAcydLRO3IgtXV6_responses.xlsx","AllFreq",0.518185485949289,0,4.57730347202139e-05,0.097570561406469,0.0486469703487223,3.13384721580352e-05,0.295051636080508,0.513685260647435,-255.769602366384
"../data/p95f2GAcydLRO3IgtXV6_responses.xlsx","LoFreq",0.528236068913429,0,6.60408543905442e-05,0.0767451488248951,0,3.13384721580352e-05,0.305045062949607,0.499968328757859,-187.722092346824
"../data/p95f2GAcydLRO3IgtXV6_responses.xlsx","HiFreq",0.50879477837816,0.0466749181795266,4.06928648793196e-05,0.21862958026279,0.0247758113536009,3.13384721580352e-05,0.384455932348734,0.529965254719173,-199.80809996977
"../data/Ph4ikT1rwiAGQLwmW5kC_responses.xlsx","AllFreq",0.555706225031827,0.0766346211540298,0.00227097061654748,0.152174577483743,0.307103431353657,8.1453075121286e-05,0.619742047301566,0.617625102674992,-226.193788952226
"../data/Ph4ikT1rwiAGQLwmW5kC_responses.xlsx","LoFreq",0.58222718199977,0.191181247456748,0.0680265495439679,0.338401500285571,0.281596821004652,8.15729981855839e-05,0.746709909016969,0.65935850956248,-175.030188622832
